								Class	Cal0	Cal0	Cal0	Cal0-005	Cal0-005	Cal0-005	Cal0-01	Cal0-01	Cal0-01	Cal0-02	Cal0-02	Cal0-02	Cal0-05	Cal0-05	Cal0-05	Cal0-1	Cal0-1	Cal0-1	Cal0-2	Cal0-2	Cal0-2	Cal0-5	Cal0-5	Cal0-5	Cal1	Cal1	Cal1	Cal2	Cal2	Cal2	Cal5	Cal5	Cal5	Cal10	Cal10	Cal10	Cal20	Cal20	Cal20	Cal50	Cal50	Cal50	Cal100	Cal100	Cal100	no spike	pre 5	post 5	pre 20	post 20
12265	12.626	518.97992	Perfluoro-n-[13C6]decanoic acid _IS	[M-H]-	12.54	518.98022	IS\latePFAS	622338.38	102816648	140517584	138317504	116033896	155995792	134851024	99990352	97878704	130451520	122604536	125937864	109213496	127153696	112648208	146947040	120078608	119255752	93321216	97522440	101505344	114037168	115354496	91749752	123568568	118183480	134224496	111951912	74972280	90581392	110971416	95367992	113229320	131768776	133586792	91484712	114134568	108400440	92388752	118376176	112834984	105365288	106987296	97141384	87256440	76426800	105365288	106987296	97141384	87256440	76426800
13492	12.957	569.98016	Perfluoro-n-[13C7]undecanoic acid _IS	[M-H]-	12.87	569.98029	IS\latePFAS	328806.94	32517480	47419008	45455788	36195352	49199532	47396772	33606344	32647870	41957572	33306614	36951168	31068326	40696376	35967696	51817424	44680804	41071720	23693990	32734294	30051478	38962268	42033992	24510416	42967824	46053476	48845768	38035856	19306278	28867850	38478748	30523214	46218604	47817044	48970352	25565008	36023908	40005628	29486052	41221636	43146056	39950600	40808600	35106496	31926326	28540656	39950600	40808600	35106496	31926326	28540656
9809	11.755	420.99292	Perfluoro-n-[13C8]octanoic acid _IS	[M-2H]-	11.68	420.99329	IS\notlatePFAS	97013.23	195274256	196016800	185815152	183537456	180107120	174502032	170485776	172994768	182433008	175071056	168487280	169214688	160120256	156122560	164803248	161548080	160191888	161096944	156076224	149216192	144842080	154393504	146614256	156478928	159218544	159601280	144989216	133777616	147701904	151162928	142377344	140244576	150715376	155766640	136759488	141998160	135822608	125770936	127845832	114570856	107633248	119816416	91340968	98378216	96354200	107633248	119816416	91340968	98378216	96354200
11134	12.227	471.99329	Perfluoro-n-[13C9]nonanoic acid _IS	[M-H]-	12.13	471.99341	IS\notlatePFAS	480208.09	169695056	207860928	202012112	181134144	196464784	187731552	177624960	181758096	182544384	167351568	191415616	179596896	181649040	165015696	196962192	163651392	177260064	159984464	172418320	157344496	165984240	179058688	155301776	185163152	181622352	179980800	164275264	136621968	153337744	160999312	166499040	173054080	180997856	176987696	145624096	161030848	162095840	145394352	155079472	133873496	130908384	144627760	115952168	119881096	107511200	130908384	144627760	115952168	119881096	107511200
2631	10.795	186.11523	Propylparaben-d7_IS	[M-H]-	10.73	186.1153	IS\notlatePFAS	193.88	858677440	878972992	877759104	821834688	795211200	757400832	750507136	776978240	753934720	747789184	719765760	700258368	662849088	632014208	667787136	654545984	670434240	641592576	621247936	624427584	638410240	617659392	603339072	633125824	607729664	612611008	602554112	597088832	554579968	593017024	589719360	608716864	615088640	647344128	620899072	602529408	618141312	623259648	627168512	631916864	652477120	617924928	638094720	624798336	631499456	652477120	617924928	638094720	624798336	631499456
9315	7.104	401.0448	Sucralose-d6_IS	[M-H]-	7.02	401.04489	IS\notlatePFAS	641.6	6667032	6528203	5320139	5706832	5588032	4842259	5363218	4758322	5078003	4683694	4273830	3962912	4532482	4678487	3797356	4047772	4298910	3961850	4178118	3183558	3358283	3930229	3439913	4073243	4487336	3824805	4193579	4899388	4412636	4114575	3397622	3837253	3806834	3467742	2961162	4039302	4026226	4095334	3852151	4509784	4207310	4152284	3927234	3512326	3108884	4207310	4152284	3927234	3512326	3108884
6156	13.346	292.96405	Triclosan-13C6_IS	[M-H]-	13.3	292.96399	IS\notlatePFAS	58.72	36045592	43551532	46390104	39186524	42911060	38660864	35299848	38133092	44284136	42933128	40702636	38521748	34903360	36381624	39301892	33938116	36884300	34207824	33953112	36378520	37955732	40698412	32415234	38618228	35944520	38218100	34787840	36026732	35294504	37035460	35095304	36262232	36129060	35457720	36521500	33308344	31360876	35124392	36329452	28389724	32520904	31790174	29922292	29881666	30021766	32520904	31790174	29922292	29881666	30021766
4467	8.299	238.13484	1,3-Di-o-tolylguanidine	[M-H]-	8.28	238.13499	Quant\notlatePFAS	19.49	0	0	0	0	0	0	0	0	0	0	0	0	309361	0	0	0	0	0	0	0	0	0	0	321563	0	343764	355365	346257	634212	347351	4013491	2754256	4192897	8554983	7097958	8511773	16742661	17102680	16003807	40540896	43561624	40662612	78115040	82437128	81444568	0	3305259	1511621	8537688	7142351
3481	7.384	210.10359	1,3-Diphenylguanidine	[M-H]-	7.35	210.1037	Quant\notlatePFAS	15.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343689	0	291722	472628	306807	1146544	561698	2691946	5631440	4620680	4505200	9643469	10241595	9943724	24068418	26196842	23123584	49885772	46633516	48024360	0	0	0	0	0
868	5.158	117.04575	1H-Benzimidazole	[M-H]-	5.05	117.0458	Quant\notlatePFAS	22.89	5906607	6619144	5073778	12659558	12681405	15338439	18214586	21615480	24312302	27449748	28926512	26901110	30652608	32600648	35257748	37798324	40109668	41547668	42822192	44012780	42437372	45779660	48836444	49457660	48008656	49639736	52191244	60878840	61829524	57404920	83230600	78749760	84855536	142245184	131059304	131051368	245825504	225570848	222171952	525489728	508571776	481681792	973326528	960166976	911008320	0	16568747	17075574	71748473	73485280
885	7.071	118.04105	1H-Benzotriazole	[M-H]-	7.1	118.0411	Quant\notlatePFAS	255.54	287009	0	187928	210285	0	0	0	265025	0	0	0	0	541307	327689	781801	347544	295791	0	809592	295637	279982	3079470	8100018	3262130	4929818	6097182	5723859	11231290	10977892	13193521	29926866	28401462	31111764	67378024	62887012	65759064	137769888	126633096	131954520	342601312	348794496	329637120	644328960	651997504	617691200	218384	25922042	24549232	80498040	79520080
